"Name of Satellite, Alternate Names",Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,
Alsat-1 ,Algeria,Centre National des Techniques Spatiales (CNTS),Government,Earth Observation,LEO,Sun-Synchronous,,680,744,4.52E-03,98.2,99.02,98,95,240,11/28/2002,5 yrs.,Surrey Satellite Technologies Ltd.,United Kingdom,Plesetsk Cosmodrome,Cosmos 3M,2002-054A,27559,First satellite in Disaster Monitoring Constellation (DMC); medium-resolution imagery with daily worldwide revisit.,,JMSatcat304,http://directory.eoportal.org/pres_DMCDisasterMonitoringConstellation.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx589.html,http://www.sstl.co.uk/index.php?loc=107,http://www.lib.cas.cz/www/space.40/2002/054A.HTM,http://host.planet4589.org/space/jsr/back/news.491,http://directory.eoportal.org/pres_DMCDisasterMonitoringConstellation.html,
Amazonas ,Brazil,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,,-61.02,"35,776","35,797",2.49E-04,0.04,1436.1,"4,545","2,000","9,500 (EOL)",8/4/2004,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2004-031A,28393,"36 Ku-band, 27 C-band transponders; North and South American continents; Spanish language; leak detected - may not have enough fuel for 15-year life.",,JM/12_08,http://www.heavens-above.com/satinfo.asp?satid=28393,http://www.universetoday.com/am/publish/proton_launches_amazonas_satellite.html,http://www.space.com/missionlaunches/proton_launch_040805.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
"AMC-1 (Americom 1, GE-1)",USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,GEO,,-103.02,"35,772","35,800",3.32E-04,0.03,1436.1,"2,783","1,600","6,500 (EOL)",9/8/1996,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean",,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/,http://ses-americom.com/satellites/amc-1.html,http://www.chinastar.com.cn/english/sate/xnzb.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
"AMC-10 (Americom-10, GE 10)",USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,GEO,,-134.97,"35,775","35,797",2.61E-04,0.01,1436.09,"2,315",907,"6,500 (EOL)",2/5/2004,15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-003A,28154,24 C-band transponders.,,JM/12_08,http://www.ses-americom.com/media/2004/02_05_04.html,http://www.ses-americom.com/satellites/amc-10-11.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx604.html,http://www.planet4589.org/space/jsr/back/news.520,,,
"AMC-11 (Americom-11, GE 11)",USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,GEO,,-130.93,"35,774","35,797",2.73E-04,0.04,1436.07,"2,340","2,316 (BOL)","6,500 (EOL)",5/19/2004,15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,24 C-band transponders.,,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx607.html,http://www.ses-americom.com/satellites/amc-10-11.html,http://www.spaceref.com/news/viewpr.html?pid=14268,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://www.lib.cas.cz/www/space.40/2004/017A.HTM,,
AMC-15 (Americom-15),USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,GEO,,-105.04,"35,777","35,795",2.13E-04,0.04,1436.08,"4,200",,,10/14/2004,15 yrs.,Lockheed Martin,USA,Baikonur Cosmodrome,Proton-M,2004-041A,28446,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx612.html,http://www.ses-americom.com/satellites/amc-15.html,http://www.lib.cas.cz/www/space.40/2004/041A.HTM,,,
AMC-16 (Americom-16),USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,GEO,,-84.98,"35,780","35,793",1.54E-04,0.02,1436.1,"4,312",,,12/17/2004,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.",,JM/12_08,http://www.lib.cas.cz/www/space.40/2004/048A.HTM,http://nssdc.gsfc.nasa.gov/spacewarn/spx614.html,http://www.ses-americom.com/satellites/amc-16.html,http://www.rednova.com/news/display/?id=112116,,,
AMC-18 (Americom 18),USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,GEO,,-104.97,"35,773","35,800",3.20E-04,0.06,1436.1,"2,081",918,,12/8/2006,15 yrs.,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644,All c-band transponders for North American coverage.,,JM/12_08,http://www.ses-americom.com/americom/siteSections/pressroom/12_08_06.php,http://www.lib.cas.cz/www/space.40/INDEX1.HTM,,,,,
"AMC-2 (Americom 2, GE-2)",USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,GEO,,-100.98,"35,774","35,798",2.85E-04,0.05,1436.1,"2,648","1,600","6,500 (EOL)",1/30/1997,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://ses-americom.com/satellites/amc-2.html,,,,,
AMC-21 (Americom 21),USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,GEO,,-124.86,"35,778","35,793",1.78E-04,3,1436.1,"2,500",,"5,000",8/14/2008,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,"Television services to the US, Canada, Mexico and Caribbean.",,JM/12_08,http://www.orbital.com/NewsInfo/Publications/AMC-21_Fact.pdf,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2008/038B.HTM,,,,,
"AMC-23 (Worldsat 3, Americom 23)",USA,New Skies Satellites N.V. (SES [Societe Europienne des Satellites]),Commercial,Communications,GEO,,+172.06,"35,772","35,799",3.20E-04,0.01,1436.1,"5,000",,"13,000",12/29/2005,16 yrs.,Alcatel Alenia Space,France/Italy,Baikonur Cosmodrome,Proton-M,2005-052A,28924,"Hybrid C/Ku-band satellite. 20 Ku-band, 18 C-band transponders. Broadcast, Internet, business; Ku-band tailored to broadband for Boeing Connexion; Pacific region.",,JM/12_08,http://www.spacenewsfeed.co.uk/2006/1January2006_7.html,http://www.ses-global.com/ses-global/siteSections/mediaroom/Latest_News/29_12_05/index.php,http://www.geamericom.com/americom/siteSections/satellitesAndTeleports/plannedsatellites/amc23/index.php,http://www.defense-aerospace.com/cgi-bin/client/modele.pl?prod=31819&session=dae.17286678.1139512222.Q@uTnsOa9dUAAEubvqk&modele=jdc_1,,,
"AMC-3 (Americom 3, GE-3)",USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,GEO,,-86.96,"35,777","35,795",2.13E-04,0.02,1436.08,"2,845","1,600","6,500 (EOL)",9/4/1997,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2 AS,1997-050A,24936,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band",,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/,http://ses-americom.com/satellites/amc-3.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,
"AMC-4 (Americom-4, GE-4)",USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,GEO,,-100.99,"35,781","35,791",1.19E-04,0.01,1436.1,"3,909","2,500",,11/13/1999,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954,"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band",,JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://ses-americom.com/satellites/amc-4.html,,,,,
"AMC-5 (Americom-5, GE-5)",USA,SES Americom (SES [Societe Europienne des Satellites]),Commercial,Communications,GEO,,-78.93,"35,777","35,796",2.25E-04,0.03,1436.1,"1,698",769,,10/28/1998,15 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 44L,1998-063B,25516,"Broadband internet, business television; 16 Ku-band; CONUS",,JM/12_08,http://www.lib.cas.cz/www/space.40/1998/063B.HTM,http://ses-americom.com/satellites/amc-5.html,,,,,
